"mea" "a_s_value" "mean" "a_s"
"tGravityAcc-correlation()-X,Z" "1" -0.0380532115266899 "activity"
"tGravityAcc-correlation()-Y,Z" "1" 0.050857178188194 "activity"
"tBodyAccJerk-mean()-X" "1" 0.0767187377408595 "activity"
"tBodyAccJerk-mean()-Y" "1" 0.0115061924659823 "activity"
"tBodyAccJerk-mean()-Z" "1" -0.00231938614930952 "activity"
"tBodyAccJerk-std()-X" "1" -0.267288163330981 "activity"
"tBodyAccJerk-std()-Y" "1" -0.103141139217389 "activity"
"tBodyAccJerk-std()-Z" "1" -0.479147120981986 "activity"
"tBodyAccJerk-mad()-X" "1" -0.257193931789431 "activity"
"tBodyAccJerk-mad()-Y" "1" -0.0752058418023769 "activity"
"tBodyAccJerk-mad()-Z" "1" -0.464446011610627 "activity"
"tBodyAccJerk-max()-X" "1" -0.439858569778351 "activity"
"tBodyAccJerk-max()-Y" "1" -0.456660543777352 "activity"
"tBodyAccJerk-max()-Z" "1" -0.63350750431324 "activity"
"tBodyAccJerk-min()-X" "1" 0.181343190856144 "activity"
"tBodyAccJerk-min()-Y" "1" 0.261883253536405 "activity"
"tBodyAccJerk-min()-Z" "1" 0.420366196907944 "activity"
"tBodyAccJerk-sma()" "1" -0.23516477932439 "activity"
"tBodyAccJerk-energy()-X" "1" -0.711701041732636 "activity"
"tBodyAccJerk-energy()-Y" "1" -0.570375746947967 "activity"
"tBodyAccJerk-energy()-Z" "1" -0.841558985207898 "activity"
"tBodyAccJerk-iqr()-X" "1" -0.239860659085629 "activity"
"tBodyAccJerk-iqr()-Y" "1" -0.236236021021951 "activity"
"tBodyAccJerk-iqr()-Z" "1" -0.500156850212369 "activity"
"tBodyAccJerk-entropy()-X" "1" 0.662526813315912 "activity"
"tBodyAccJerk-entropy()-Y" "1" 0.617406712009292 "activity"
"tBodyAccJerk-entropy()-Z" "1" 0.570461735882695 "activity"
"tBodyAccJerk-arCoeff()-X,1" "1" -0.339419440479646 "activity"
"tBodyAccJerk-arCoeff()-X,2" "1" 0.217890822792584 "activity"
"tBodyAccJerk-arCoeff()-X,3" "1" 0.02535150835277 "activity"
"tBodyAccJerk-arCoeff()-X,4" "1" 0.0557333563507114 "activity"
"tBodyAccJerk-arCoeff()-Y,1" "1" -0.23391029574036 "activity"
"tBodyAccJerk-arCoeff()-Y,2" "1" 0.165878224088978 "activity"
"tBodyAccJerk-arCoeff()-Y,3" "1" 0.209762316049024 "activity"
"tBodyAccJerk-arCoeff()-Y,4" "1" 0.278262528201591 "activity"
"tBodyAccJerk-arCoeff()-Z,1" "1" -0.187020935314698 "activity"
"tBodyAccJerk-arCoeff()-Z,2" "1" 0.177967407692334 "activity"
"tBodyAccJerk-arCoeff()-Z,3" "1" 0.0116147887287979 "activity"
"tBodyAccJerk-arCoeff()-Z,4" "1" 0.0704312871974007 "activity"
"tBodyAccJerk-correlation()-X,Y" "1" -0.073811371035619 "activity"
"tBodyAccJerk-correlation()-X,Z" "1" -0.0109247256366144 "activity"
"tBodyAccJerk-correlation()-Y,Z" "1" 0.177310160535011 "activity"
"tBodyGyro-mean()-X" "1" -0.0347275766522822 "activity"
"tBodyGyro-mean()-Y" "1" -0.0694200436104837 "activity"
"tBodyGyro-mean()-Z" "1" 0.0863626487285566 "activity"
"tBodyGyro-std()-X" "1" -0.469914839340418 "activity"
"tBodyGyro-std()-Y" "1" -0.347921806314175 "activity"
"tBodyGyro-std()-Z" "1" -0.338448612532172 "activity"
"tBodyGyro-mad()-X" "1" -0.470229027681823 "activity"
"tBodyGyro-mad()-Y" "1" -0.374950331537892 "activity"
"tBodyGyro-mad()-Z" "1" -0.373711846036121 "activity"
"tBodyGyro-max()-X" "1" -0.436263695793101 "activity"
"tBodyGyro-max()-Y" "1" -0.492321578515854 "activity"
"tBodyGyro-max()-Z" "1" -0.227157866012288 "activity"
"tBodyGyro-min()-X" "1" 0.445549327432636 "activity"
"tBodyGyro-min()-Y" "1" 0.557788001776074 "activity"
"tBodyGyro-min()-Z" "1" 0.297508877738502 "activity"
"tBodyGyro-sma()" "1" -0.267144996706568 "activity"
"tBodyGyro-energy()-X" "1" -0.849094558202091 "activity"
"tBodyGyro-energy()-Y" "1" -0.756604810941405 "activity"
"tBodyGyro-energy()-Z" "1" -0.78206815437863 "activity"
"tBodyGyro-iqr()-X" "1" -0.454823804635947 "activity"
"tBodyGyro-iqr()-Y" "1" -0.426511337684458 "activity"
"tBodyGyro-iqr()-Z" "1" -0.491410166899535 "activity"
"tBodyGyro-entropy()-X" "1" 0.15621904338095 "activity"
"tBodyGyro-entropy()-Y" "1" 0.128241577373386 "activity"
"tBodyGyro-entropy()-Z" "1" 0.300747725603153 "activity"
"tBodyGyro-arCoeff()-X,1" "1" -0.338982295459872 "activity"
"tBodyGyro-arCoeff()-X,2" "1" 0.277785061702653 "activity"
"tBodyGyro-arCoeff()-X,3" "1" 0.0850249112703542 "activity"
"tBodyGyro-arCoeff()-X,4" "1" -0.136837251045842 "activity"
"tBodyGyro-arCoeff()-Y,1" "1" -0.278224791420256 "activity"
"tBodyGyro-arCoeff()-Y,2" "1" 0.283440984605459 "activity"
"tBodyGyro-arCoeff()-Y,3" "1" -0.130704862835203 "activity"
"tBodyGyro-arCoeff()-Y,4" "1" 0.224771751036109 "activity"
"tBodyGyro-arCoeff()-Z,1" "1" -0.303273383588589 "activity"
"tBodyGyro-arCoeff()-Z,2" "1" 0.310446565926539 "activity"
"tBodyGyro-arCoeff()-Z,3" "1" -0.220456181370964 "activity"
"tBodyGyro-arCoeff()-Z,4" "1" 0.310691723691325 "activity"
"tBodyGyro-correlation()-X,Y" "1" -0.193073967265993 "activity"
"tBodyGyro-correlation()-X,Z" "1" -0.04463293871836 "activity"
"tBodyGyro-correlation()-Y,Z" "1" 0.122628972065929 "activity"
"tBodyGyroJerk-mean()-X" "1" -0.0943007119992102 "activity"
"tBodyGyroJerk-mean()-Y" "1" -0.0445701108594715 "activity"
"tBodyGyroJerk-mean()-Z" "1" -0.0540064674427816 "activity"
"tBodyGyroJerk-std()-X" "1" -0.37622140274036 "activity"
"tBodyGyroJerk-std()-Y" "1" -0.512619067859872 "activity"
"tBodyGyroJerk-std()-Z" "1" -0.447427245411672 "activity"
"tBodyGyroJerk-mad()-X" "1" -0.36851772592331 "activity"
"tBodyGyroJerk-mad()-Y" "1" -0.536288308615923 "activity"
"tBodyGyroJerk-mad()-Z" "1" -0.456577585359988 "activity"
"tBodyGyroJerk-max()-X" "1" -0.43397707509158 "activity"
"tBodyGyroJerk-max()-Y" "1" -0.568505347501604 "activity"
"tBodyGyroJerk-max()-Z" "1" -0.470911812142915 "activity"
"tBodyGyroJerk-min()-X" "1" 0.470046461117573 "activity"
"tBodyGyroJerk-min()-Y" "1" 0.621070023288037 "activity"
"tBodyGyroJerk-min()-Z" "1" 0.593517638083043 "activity"
"tBodyGyroJerk-sma()" "1" -0.470869595344704 "activity"
"tBodyGyroJerk-energy()-X" "1" -0.787144319051103 "activity"
"tBodyGyroJerk-energy()-Y" "1" -0.849037738535424 "activity"
"tBodyGyroJerk-energy()-Z" "1" -0.831744365377468 "activity"
"tBodyGyroJerk-iqr()-X" "1" -0.389321861676039 "activity"
"tBodyGyroJerk-iqr()-Y" "1" -0.564038374045238 "activity"
"tBodyGyroJerk-iqr()-Z" "1" -0.497077361876539 "activity"
"tBodyGyroJerk-entropy()-X" "1" 0.578325328873403 "activity"
"tBodyGyroJerk-entropy()-Y" "1" 0.576963158310105 "activity"
"tBodyGyroJerk-entropy()-Z" "1" 0.582132538600465 "activity"
"tBodyGyroJerk-arCoeff()-X,1" "1" -0.187007296814506 "activity"
"tBodyGyroJerk-arCoeff()-X,2" "1" 0.138285381476748 "activity"
"tBodyGyroJerk-arCoeff()-X,3" "1" 0.17060457536004 "activity"
"tBodyGyroJerk-arCoeff()-X,4" "1" 0.165288345397562 "activity"
"tBodyGyroJerk-arCoeff()-Y,1" "1" -0.277527387362276 "activity"
"tBodyGyroJerk-arCoeff()-Y,2" "1" 0.279093819016725 "activity"
"tBodyGyroJerk-arCoeff()-Y,3" "1" 0.0478549739374564 "activity"
"tBodyGyroJerk-arCoeff()-Y,4" "1" 0.0526705535992741 "activity"
"tBodyGyroJerk-arCoeff()-Z,1" "1" -0.315091210982456 "activity"
"tBodyGyroJerk-arCoeff()-Z,2" "1" 0.22817790210676 "activity"
"tBodyGyroJerk-arCoeff()-Z,3" "1" -0.0326205265285017 "activity"
"tBodyGyroJerk-arCoeff()-Z,4" "1" -0.0458960217621061 "activity"
"tBodyGyroJerk-correlation()-X,Y" "1" 0.096701913967741 "activity"
"tBodyGyroJerk-correlation()-X,Z" "1" 0.0752489658064402 "activity"
"tBodyGyroJerk-correlation()-Y,Z" "1" -0.042808219076475 "activity"
"tBodyAccMag-mean()" "1" -0.167937853979757 "activity"
"tBodyAccMag-std()" "1" -0.33775398556687 "activity"
"tBodyAccMag-mad()" "1" -0.419057863034263 "activity"
"tBodyAccMag-max()" "1" -0.233791223069756 "activity"
"tBodyAccMag-min()" "1" -0.649260182456446 "activity"
"tBodyAccMag-sma()" "1" -0.167937853979757 "activity"
"tBodyAccMag-energy()" "1" -0.640871136231127 "activity"
"tBodyAccMag-iqr()" "1" -0.499485946457607 "activity"
"tBodyAccMag-entropy()" "1" 0.771674232926829 "activity"
"tBodyAccMag-arCoeff()1" "1" -0.0421335110764036 "activity"
"tBodyAccMag-arCoeff()2" "1" 0.0190892460681998 "activity"
"tBodyAccMag-arCoeff()3" "1" 0.00197795553494832 "activity"
"tBodyAccMag-arCoeff()4" "1" -0.00487602647613763 "activity"
"tGravityAccMag-mean()" "1" -0.167937853979757 "activity"
"tGravityAccMag-std()" "1" -0.33775398556687 "activity"
"tGravityAccMag-mad()" "1" -0.419057863034263 "activity"
"tGravityAccMag-max()" "1" -0.233791223069756 "activity"
"tGravityAccMag-min()" "1" -0.649260182456446 "activity"
"tGravityAccMag-sma()" "1" -0.167937853979757 "activity"
"tGravityAccMag-energy()" "1" -0.640871136231127 "activity"
"tGravityAccMag-iqr()" "1" -0.499485946457607 "activity"
"tGravityAccMag-entropy()" "1" 0.771674232926829 "activity"
"tGravityAccMag-arCoeff()1" "1" -0.0421335110764036 "activity"
"tGravityAccMag-arCoeff()2" "1" 0.0190892460681998 "activity"
"tGravityAccMag-arCoeff()3" "1" 0.00197795553494832 "activity"
"tGravityAccMag-arCoeff()4" "1" -0.00487602647613763 "activity"
"tBodyAccJerkMag-mean()" "1" -0.241451989838379 "activity"
"tBodyAccJerkMag-std()" "1" -0.214555894362491 "activity"
"tBodyAccJerkMag-mad()" "1" -0.245900684997729 "activity"
"tBodyAccJerkMag-max()" "1" -0.251460802500778 "activity"
"tBodyAccJerkMag-min()" "1" -0.547780206478688 "activity"
"tBodyAccJerkMag-sma()" "1" -0.241451989838379 "activity"
"tBodyAccJerkMag-energy()" "1" -0.678489514393148 "activity"
"tBodyAccJerkMag-iqr()" "1" -0.341689755124387 "activity"
"tBodyAccJerkMag-entropy()" "1" 0.722958962148664 "activity"
"tBodyAccJerkMag-arCoeff()1" "1" -0.00965367052773229 "activity"
"tBodyAccJerkMag-arCoeff()2" "1" 0.0141210231895238 "activity"
"tBodyAccJerkMag-arCoeff()3" "1" -0.136899782045645 "activity"
"tBodyAccJerkMag-arCoeff()4" "1" 0.0706309789737758 "activity"
"tBodyGyroMag-mean()" "1" -0.274866019270244 "activity"
"tBodyGyroMag-std()" "1" -0.382629015979094 "activity"
"tBodyGyroMag-mad()" "1" -0.316896515121121 "activity"
"tBodyGyroMag-max()" "1" -0.444859134813368 "activity"
"tBodyGyroMag-min()" "1" -0.545246231763357 "activity"
"tBodyGyroMag-sma()" "1" -0.274866019270244 "activity"
"tBodyGyroMag-energy()" "1" -0.706002519192218 "activity"
"tBodyGyroMag-iqr()" "1" -0.34748193562863 "activity"
"tBodyGyroMag-entropy()" "1" 0.651615487931812 "activity"
"tBodyGyroMag-arCoeff()1" "1" 0.0664951485876655 "activity"
"tBodyGyroMag-arCoeff()2" "1" -0.118246556648858 "activity"
"tBodyGyroMag-arCoeff()3" "1" 0.0838277057643612 "activity"
"tBodyGyroMag-arCoeff()4" "1" -0.0314363838405511 "activity"
"tBodyGyroJerkMag-mean()" "1" -0.460511516745528 "activity"
"tBodyGyroJerkMag-std()" "1" -0.498841024689745 "activity"
"tBodyGyroJerkMag-mad()" "1" -0.525829142199419 "activity"
"tBodyGyroJerkMag-max()" "1" -0.527879541525714 "activity"
"tBodyGyroJerkMag-min()" "1" -0.564543291978397 "activity"
"tBodyGyroJerkMag-sma()" "1" -0.460511516745528 "activity"
"tBodyGyroJerkMag-energy()" "1" -0.833293566016899 "activity"
"tBodyGyroJerkMag-iqr()" "1" -0.550173829525215 "activity"
"tBodyGyroJerkMag-entropy()" "1" 0.858836483739837 "activity"
"tBodyGyroJerkMag-arCoeff()1" "1" 0.248893680550138 "activity"
"tBodyGyroJerkMag-arCoeff()2" "1" -0.193885744437346 "activity"
"tBodyGyroJerkMag-arCoeff()3" "1" -0.11432864563051 "activity"
"tBodyGyroJerkMag-arCoeff()4" "1" -0.0538567092655807 "activity"
"fBodyAcc-mean()-X" "1" -0.297890931822619 "activity"
"fBodyAcc-mean()-Y" "1" -0.0423392245272938 "activity"
"fBodyAcc-mean()-Z" "1" -0.341840674953966 "activity"
"fBodyAcc-std()-X" "1" -0.322835798362427 "activity"
"fBodyAcc-std()-Y" "1" -0.0772063416317422 "activity"
"fBodyAcc-std()-Z" "1" -0.296078309260848 "activity"
"fBodyAcc-mad()-X" "1" -0.252552631825108 "activity"
"fBodyAcc-mad()-Y" "1" -0.0274996534835482 "activity"
"fBodyAcc-mad()-Z" "1" -0.297217146058769 "activity"
"fBodyAcc-max()-X" "1" -0.442246813095819 "activity"
"fBodyAcc-max()-Y" "1" -0.361498655278351 "activity"
"fBodyAcc-max()-Z" "1" -0.34613176409061 "activity"
"fBodyAcc-min()-X" "1" -0.73935304879849 "activity"
"fBodyAcc-min()-Y" "1" -0.762107437107491 "activity"
"fBodyAcc-min()-Z" "1" -0.844617051316492 "activity"
"fBodyAcc-sma()" "1" -0.128029814126864 "activity"
"fBodyAcc-energy()-X" "1" -0.753054528629501 "activity"
"fBodyAcc-energy()-Y" "1" -0.498457975791115 "activity"
"fBodyAcc-energy()-Z" "1" -0.706891187905865 "activity"
"fBodyAcc-iqr()-X" "1" -0.313768790005993 "activity"
"fBodyAcc-iqr()-Y" "1" -0.246701031418223 "activity"
"fBodyAcc-iqr()-Z" "1" -0.485912835529443 "activity"
"fBodyAcc-entropy()-X" "1" 0.540026692247387 "activity"
"fBodyAcc-entropy()-Y" "1" 0.531068498408827 "activity"
"fBodyAcc-entropy()-Z" "1" 0.432387498391986 "activity"
"fBodyAcc-maxInds-X" "1" -0.764452434047619 "activity"
"fBodyAcc-maxInds-Y" "1" -0.698838558390825 "activity"
"fBodyAcc-maxInds-Z" "1" -0.777182165708479 "activity"
"fBodyAcc-meanFreq()-X" "1" -0.28685827761899 "activity"
"fBodyAcc-meanFreq()-Y" "1" 0.0518636618040337 "activity"
"fBodyAcc-meanFreq()-Z" "1" 0.0749560748261487 "activity"
"fBodyAcc-skewness()-X" "1" -0.111500182050488 "activity"
"fBodyAcc-kurtosis()-X" "1" -0.49210106719489 "activity"
"fBodyAcc-skewness()-Y" "1" -0.40075684766324 "activity"
"fBodyAcc-kurtosis()-Y" "1" -0.740620975874158 "activity"
"fBodyAcc-skewness()-Z" "1" -0.302537263561376 "activity"
"fBodyAcc-kurtosis()-Z" "1" -0.571077290334204 "activity"
"fBodyAcc-bandsEnergy()-1,8" "1" -0.772254247346109 "activity"
"fBodyAcc-bandsEnergy()-9,16" "1" -0.801258125578397 "activity"
"fBodyAcc-bandsEnergy()-17,24" "1" -0.661086919846806 "activity"
"fBodyAcc-bandsEnergy()-25,32" "1" -0.787868477170441 "activity"
"fBodyAcc-bandsEnergy()-33,40" "1" -0.853970237921603 "activity"
"fBodyAcc-bandsEnergy()-41,48" "1" -0.852162506772067 "activity"
"fBodyAcc-bandsEnergy()-49,56" "1" -0.905266862789199 "activity"
"fBodyAcc-bandsEnergy()-57,64" "1" -0.932450291754762 "activity"
"fBodyAcc-bandsEnergy()-1,16" "1" -0.75964516558072 "activity"
"fBodyAcc-bandsEnergy()-17,32" "1" -0.645868857092247 "activity"
"fBodyAcc-bandsEnergy()-33,48" "1" -0.85330656518583 "activity"
"fBodyAcc-bandsEnergy()-49,64" "1" -0.914378054876307 "activity"
"fBodyAcc-bandsEnergy()-1,24" "1" -0.752641510336818 "activity"
"fBodyAcc-bandsEnergy()-25,48" "1" -0.778017767434553 "activity"
"fBodyAcc-bandsEnergy()-1,8.1" "1" -0.637264319630256 "activity"
"fBodyAcc-bandsEnergy()-9,16.1" "1" -0.63880345484518 "activity"
"fBodyAcc-bandsEnergy()-17,24.1" "1" -0.609871467962195 "activity"
"fBodyAcc-bandsEnergy()-25,32.1" "1" -0.748470709184088 "activity"
"fBodyAcc-bandsEnergy()-33,40.1" "1" -0.761936936788386 "activity"
"fBodyAcc-bandsEnergy()-41,48.1" "1" -0.729477892118467 "activity"
"fBodyAcc-bandsEnergy()-49,56.1" "1" -0.771720080504065 "activity"
"fBodyAcc-bandsEnergy()-57,64.1" "1" -0.895690017811847 "activity"
"fBodyAcc-bandsEnergy()-1,16.1" "1" -0.536251598012137 "activity"
"fBodyAcc-bandsEnergy()-17,32.1" "1" -0.550325669542973 "activity"
"fBodyAcc-bandsEnergy()-33,48.1" "1" -0.722216204834418 "activity"
"fBodyAcc-bandsEnergy()-49,64.1" "1" -0.816623465739257 "activity"
"fBodyAcc-bandsEnergy()-1,24.1" "1" -0.507377599613937 "activity"
"fBodyAcc-bandsEnergy()-25,48.1" "1" -0.727516077603949 "activity"
"fBodyAcc-bandsEnergy()-1,8.2" "1" -0.76481060195122 "activity"
"fBodyAcc-bandsEnergy()-9,16.2" "1" -0.799241040030314 "activity"
"fBodyAcc-bandsEnergy()-17,24.2" "1" -0.805822627606562 "activity"
"fBodyAcc-bandsEnergy()-25,32.2" "1" -0.912263235788037 "activity"
"fBodyAcc-bandsEnergy()-33,40.2" "1" -0.923516377752613 "activity"
"fBodyAcc-bandsEnergy()-41,48.2" "1" -0.870820798955285 "activity"
"fBodyAcc-bandsEnergy()-49,56.2" "1" -0.878891051554007 "activity"
"fBodyAcc-bandsEnergy()-57,64.2" "1" -0.924394961279907 "activity"
"fBodyAcc-bandsEnergy()-1,16.2" "1" -0.747282682239257 "activity"
"fBodyAcc-bandsEnergy()-17,32.2" "1" -0.844412171569222 "activity"
"fBodyAcc-bandsEnergy()-33,48.2" "1" -0.904427164444251 "activity"
"fBodyAcc-bandsEnergy()-49,64.2" "1" -0.891513138681765 "activity"
"fBodyAcc-bandsEnergy()-1,24.2" "1" -0.715978827797329 "activity"
"fBodyAcc-bandsEnergy()-25,48.2" "1" -0.910044739608595 "activity"
"fBodyAccJerk-mean()-X" "1" -0.31112743843018 "activity"
"fBodyAccJerk-mean()-Y" "1" -0.170395065771795 "activity"
"fBodyAccJerk-mean()-Z" "1" -0.451010514389593 "activity"
"fBodyAccJerk-std()-X" "1" -0.287897688500499 "activity"
"fBodyAccJerk-std()-Y" "1" -0.0908699078702335 "activity"
"fBodyAccJerk-std()-Z" "1" -0.506329080412654 "activity"
"fBodyAccJerk-mad()-X" "1" -0.167841525965855 "activity"
"fBodyAccJerk-mad()-Y" "1" -0.138452184470499 "activity"
"fBodyAccJerk-mad()-Z" "1" -0.482964452079071 "activity"
"fBodyAccJerk-max()-X" "1" -0.410419705833653 "activity"
"fBodyAccJerk-max()-Y" "1" -0.23108041607054 "activity"
"fBodyAccJerk-max()-Z" "1" -0.534280259857236 "activity"
"fBodyAccJerk-min()-X" "1" -0.775608273341638 "activity"
"fBodyAccJerk-min()-Y" "1" -0.689196721365331 "activity"
"fBodyAccJerk-min()-Z" "1" -0.764093716006969 "activity"
"fBodyAccJerk-sma()" "1" -0.194150773768118 "activity"
"fBodyAccJerk-energy()-X" "1" -0.711305054131533 "activity"
"fBodyAccJerk-energy()-Y" "1" -0.570554523094367 "activity"
"fBodyAccJerk-energy()-Z" "1" -0.841606856908827 "activity"
"fBodyAccJerk-iqr()-X" "1" -0.270255731944681 "activity"
"fBodyAccJerk-iqr()-Y" "1" -0.386581340256973 "activity"
"fBodyAccJerk-iqr()-Z" "1" -0.522435459019164 "activity"
"fBodyAccJerk-entropy()-X" "1" 0.517530195664925 "activity"
"fBodyAccJerk-entropy()-Y" "1" 0.555793994233449 "activity"
"fBodyAccJerk-entropy()-Z" "1" 0.328088663181376 "activity"
"fBodyAccJerk-maxInds-X" "1" -0.453821138211382 "activity"
"fBodyAccJerk-maxInds-Y" "1" -0.384761904761905 "activity"
"fBodyAccJerk-maxInds-Z" "1" -0.321486643437863 "activity"
"fBodyAccJerk-meanFreq()-X" "1" -0.258388290587468 "activity"
"fBodyAccJerk-meanFreq()-Y" "1" -0.354659109992689 "activity"
"fBodyAccJerk-meanFreq()-Z" "1" -0.24068649680518 "activity"
"fBodyAccJerk-skewness()-X" "1" -0.149227889307602 "activity"
"fBodyAccJerk-kurtosis()-X" "1" -0.618465629852033 "activity"
"fBodyAccJerk-skewness()-Y" "1" -0.221067039517753 "activity"
"fBodyAccJerk-kurtosis()-Y" "1" -0.711054605629936 "activity"
"fBodyAccJerk-skewness()-Z" "1" -0.309842734939776 "activity"
"fBodyAccJerk-kurtosis()-Z" "1" -0.701589369494599 "activity"
"fBodyAccJerk-bandsEnergy()-1,8" "1" -0.818959948141696 "activity"
"fBodyAccJerk-bandsEnergy()-9,16" "1" -0.773355453246225 "activity"
"fBodyAccJerk-bandsEnergy()-17,24" "1" -0.695887631803717 "activity"
"fBodyAccJerk-bandsEnergy()-25,32" "1" -0.793729019721835 "activity"
"fBodyAccJerk-bandsEnergy()-33,40" "1" -0.862579634994193 "activity"
"fBodyAccJerk-bandsEnergy()-41,48" "1" -0.829342132074332 "activity"
"fBodyAccJerk-bandsEnergy()-49,56" "1" -0.896284024570848 "activity"
"fBodyAccJerk-bandsEnergy()-57,64" "1" -0.971903906289199 "activity"
"fBodyAccJerk-bandsEnergy()-1,16" "1" -0.77381927354878 "activity"
"fBodyAccJerk-bandsEnergy()-17,32" "1" -0.66795572711144 "activity"
